name;level;type;ritual;casting_time;casting_time_comment;range;components;components_comment;duration;duration_comment;discription
Acid Splash;0;conjuration;-; 1  action ;-;60 feet;V,S;-;instant;-;You hurl a bubble of acid. C hoose one creature within You hurl a bubble of acid. C hoose one creature within range, or choose two creatures within range that are within 5 feet o f each other. A target must succeed on a Dexterity saving throw or take  1d6 acid damage.This spells damage increases by 1d6 when you reach 5th level (2d6),  11th level (3d6), and  17th level (4d6).
Aid;2;abjuration;-; 1  action ;-;30 feet;V,S,M;(a tiny strip o f white cloth;8 hours;-;Your spell bolsters your allies with toughness and Your spell bolsters your allies with toughness and resolve. C hoose up to three creatures within range.Each targets hit point maximum and current hit points increase by 5 for the duration.A t Higher Levels. W hen you cast this spell using a spell slot of 3rd level or higher, a targets hit points increase by an additional 5 for each slot level above 2nd.
Alarm;1;abjuration;True;1 minute;-;30 feet;V,S,M;(a tiny bell and a piece offine silver wire;8 hours;-;You set an alarm against unwanted intrusion. Choose You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. W hen you cast the spell, you can designate creatures that w ont set off the alarm. You also choose whether the alarm is mental or audible.A mental alarm alerts you with a ping in your mind if you are within  1  mile of the warded area. This ping awakens you if you are sleeping.An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.
Alter Self;2;transmutation;-; 1  action ;-;self;V,S;-;1 hour;-;You assume a different form. W hen you cast the spell, You assume a different form. W hen you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. W hile the spell lasts,you can end one option as an action to gain the benefits of a different one.Aquatic Adaptation. You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swim m ing speed equal to your walking speed.Change Appearance. You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any.You can make yourself appear as a m em ber of another race, though none of your statistics change. You also cant appear as a creature of a different size than you, and your basic shape stays the same if youre bipedal, you cant use this spell to becom e quadrupedal, for instance. At any time for the duration of the spell, you can use your action to change your appearance in this way again.Natural Weapons. You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal  1d6 bludgeoning, piercing, or slashing damage, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is m agic and you have a +1 bonus to the attack and damage rolls you make using it.
Animal Friendship;1;enchantment;-; 1  action ;-;30 feet;V,S,M;(a m orsel of food;24 hours;-;This spell lets you convince a beast that you mean it no This spell lets you convince a beast that you mean it no harm. C hoose a beast that you can see within range.It must see and hear you. If the beasts Intelligence is4 or higher, the spell fails. Otherwise, the beast must succeed on a W isdom  saving throw or be charm ed by you for the spells duration. If you or one of your com panions harms the target, the spells ends.At Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above  1st.
Animal Messenger;2;enchantment;True; 1  action ;-;30 feet;V,S,M;(a m orsel of food;24 hours;-;By means of this spell, you use an animal to deliver a By means of this spell, you use an animal to deliver a message. C hoose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as “a man or wom an dressed in the uniform of the town guard” or “a red-haired dwarf wearing a pointed hat.” You also speak a m essage of up to twenty-five words. The target beast travels for the duration of the spell toward the specifiedlocation, covering about 50 m iles per 24 hours for a flying messenger, or 25 m iles for other animals.W hen the m essenger arrives, it delivers your m essage to the creature that you described, replicating the sound of your voice. The m essenger speaks only to a creature matching the description you gave. If the m essenger doesnt reach its destination before the spell ends, the m essage is lost, and the beast makes its way back to where you cast this spell.At Higher Levels. If you cast this spell using a spell slot of 3nd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.
Animal Shapes;8;transmutation;-; 1  action ;-;30 feet;V,S;-;concentration; up to 24 hours;Your m agic turns others into beasts. C hoose any Your m agic turns others into beasts. C hoose any number of willing creatures that you can see within range. You transform each target into the form  o f a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms.The transformation lasts for the duration for each target, or until the target drops to 0 hit points or dies. You can choose a different form for each target. A targets game statistics are replaced by the statistics of the chosen beast, though the target retains its alignment and Intelligence, W isdom , and Charisma scores. The target assum es the hit points o f its new form, and when it reverts to its normal form, it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesnt reduce the creatures normal form to 0 hit points, it isnt knocked unconscious. The creature is limited in the actions it can perform  by the nature of its new form, and it cant speak or cast spells.The targets gear melds into the new form. The target cant activate, wield, or otherwise benefit from any of its equipment.
Animate Dead;3;necromancy;-;1 minute;-; 10 feet;V,S,M;(a drop of blood, a piece of flesh,and a pinch of bone dust;instant;-;This spell creates an undead servant. C hoose a pile This spell creates an undead servant. C hoose a pile of bones or a corpse of a Medium or Sm all humanoid within range. Your spell im bues the target with a foul mimicry of life, raising it as an undead creature. The target becom es a skeleton if you chose bones or a zom bie if you chose a corpse (the DM has the creatures game statistics).On each of your turns, you can use a bonus action to mentally com m and any creature you made with this spell if the creature is within 60 feet of you (if youcontrol multiple creatures, you can com m and any or all of them at the sam e time, issuing the sam e com m and to each one). You decide what action the creature will take and where it w ill move during its next turn, or you can issue a general com m and, such as to guard a particular cham ber or corridor. If you issue no com m ands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.The creature is under your control for 24 hours, after which it stops obeying any com m and youve given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use o f the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.A t Higher Levels. W hen you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must com e from  a different corpse or pile of bones.
Animate Objects;5;transmutation;-;1  action ;-; 120 feet;V,S;-;1 minutes;-;Objects com e to life at your com m and. Choose up to Objects com e to life at your com m and. Choose up to ten nonm agical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You cant animate any object larger than Huge. Each target animates and becom es a creature under your control until the spell ends or until reduced to 0 hit points.As a bonus action, you can mentally com m and any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can com m and any or all of them at the same time, issuing the same com m and to each one). You decide what action the creature w ill take and where it will move during its next turn, or you can issue a general com m and, such as to guard a particular cham ber or corridor. If you issue no com m ands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.MISSINGAn animated object is a construct with AC, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is  10 and its Intelligence and W isdomare 3, and its Charisma is  1. Its speed is 30 feet if the object lacks legs or other appendages it can use for locom otion, it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has blindsight with a radius of 30 feet and is blind beyond that distance. W hen the animated object drops to 0 hit points, it reverts to its original object form, and any remaining damage carries over to its original object form.If you com m and an object to attack, it can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The DM might rule that a specific object inflicts slashing or piercing damage based on its form.At Higher Levels. If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th.
Antilife Shell;5;abjuration;-; 1  action ;-;self;V,S;-;1 hour;-;A shim mering barrier extends out from  you in a 10-foot A shim mering barrier extends out from  you in a 10-foot radius and m oves with you, remaining centered on you and hedging out creatures other than undead and constructs. The barrier lasts for the duration.The barrier prevents an affected creature from passing or reaching through. An affected creature can cast spells or make attacks with ranged or reach w eapons through the barrier.If you move so that an affected creature is forced to pass through the barrier, the spell ends.
